,City,Place
0,Aamby Valley City,19 Degree North
7,Abhaneri,Chand Baori (Step well)
716,Abhaneri,Harshat Mata Temple
834,Achooranam,Wayanad Tea Museum
865,Acharapakkam,Mazhai Malai Madha Shrine
866,Achrol,Moto Sport Park
882,Acharapakkam,Achirupakkam
883,Adilabad,Basar Saraswati Temple
1001,Adilabad,Kadam Dam
1010,Adilabad,Kawal Wildlife Sanctuary
1014,Adilabad,Fun Park
1015,Adilabad,Gudem Satyanarayana Swamy Temple
1017,Adilabad,Jainath Temple
1033,Adilabad,Kalwa Narsimha Swamy Temple
1036,Adilabad,Kuntala Waterfall
1046,Adilabad,Kadile Papahareshwar Temple
1113,Adilabad,Pochera Waterfalls
1131,Adimaly,Indian Spices & Herbal Garden
1142,Adilabad,Pranahita Wildlife Sanctuary
1156,Adilabad,Saptha Kund
1159,Adilabad,Sivaram Wildlife Sanctuary
1162,Adipur,Somaiya Kala Vidya
1179,Adilabad,Sathnala Dam
1184,Adipur,Sant Lilashah Kutiya
1189,Adipur,Gandhi Samadhi
1207,Adoni,Adoni Fort
1222,Adoor,Mannadi Devi Temple
1234,Adoor,Trichennamangalam Mahadevar Temple
1239,Agartala,Baramura Eco Park
1240,Agartala,Benu Ban Bihari Temple
1252,Agartala,Fourteen Goddess Temple
1262,Agartala,Benuban Vihar
1268,Agartala,Domboor Lake
1272,Agartala,Dumboor Lake
1286,Agartala,Chowda Devta Temple
1300,Agartala,Heritage Park
1302,Agartala,Gedu Miar Maszid
1325,Agartala,Gondacherra Wildlife Sanctuary
1342,Agartala,Gedumian Mosque
1349,Agartala,Jagannath Temple
1359,Agartala,Haveli Museum
1386,Agartala,"ISKCON, Math Chowmuhani"
1394,Agartala,Kalyan Sagar Lake
1400,Agartala,ISKCON Temple
1405,Agartala,Jampui Hill
1431,Agartala,Kalapania Nature Park
1436,Agartala,Kamaleswari Temple
1446,Agartala,Kalibari Temple
1454,Agartala,Kamala Sagar
1484,Agartala,Neermahal Palace
1504,Agartala,Kunjaban Palace
1538,Agartala,Malancha Niwas
1598,Agartala,Rudrasagar Lake
1623,Agartala,Ram Thakur's Ashram
1624,Agartala,Nehru Park
1633,Agartala,Ramkrishna Mission
1647,Agartala,Rose Valley Amusement Park
1657,Agartala,Ravindra Kanan
1675,Agartala,Sepahijala Wild Life Sanctuary
1707,Agartala,Sipahijala Wildlife Sanctuary
1750,Agartala,Tripura Government Museum
1817,Agartala,Sukanta Academy
1821,Agartala,Ujjayanta Palace
1869,Agartala,Trishna Wildlife Sanctuary
1917,Agartala,Tripura State Tribal Museum
1972,Agartala,Unakoti
2032,Agartala,Umamaheswar Temple
2056,Agartala,Ummaneshwar Temple
2065,Agatti,Island of Thinnakara
2084,Agatti,Lakshadweep Tour Package - Day Tours
2091,Agartala,Venuban Vihar Buddha Shrine
2121,Agonda,Agonda Beach
2154,Agatti,Lakshadweep Yathra Holidays
4026,Agonda,Animal Shelter Agonda
4046,Agonda,Aloha Surf India
4110,Agonda,Bio Veda Ayurvedic Beach Resort Spa
4135,Agonda,Fluidsymmetry
4146,Agonda,AUGUSTIN Studio & Gallery
4172,Agonda,Chapoli Dam
4182,Agonda,Galgibaga Beach
4351,Agonda,Krishna Ayurveda Massage Centre
4439,Agonda,Go Kayak
4462,Agonda,Om Ayurvedic Massage Center
4473,Agonda,Rock Formations
4514,Agonda,Partagal Matha Temple
4536,Agonda,Purnam Yoga Teacher Training in Goa
4538,Agra,Agra Art Gallery
4576,Agonda,PetraVeda
4609,Agonda,Saint Anna Taxi and Tours
4619,Agonda,Yoga Leela Agonda Rama Yoga Center
4653,Agra,Agra Fort
4723,Agra,Agra Fort Railway Station
13224,Agra,Anguri Bagh
13374,Agra,Chini Ka Rauza Mausoleum
13392,Agra,Army School
13404,Agra,Bageshwarnath Temple
13412,Agra,Balkeshwar Mandir
13429,Agra,Ashok Cosmos Mall
13434,Agra,Chhatri of Raja Jaswant Singh
13445,Agra,Bateshwar Temples
13473,Agra,Chini Ka Rauza
13475,Agra,Dayal Bagh
13526,Agra,CR Mall
13588,Agra,Dakhini Darwaza
13647,Agra,Diwan-i-Am Agra Fort
13713,Agra,Dhakri-Ka-Mahal
13795,Agra,Diwan E Aam
13831,Agra,Dolphin The Water World
13839,Agra,Gurudwara Guru ka Tal
13872,Tajganj,Dreams  tour
13886,Agra,Dr. B. R. Ambedkar University
13956,Agra,Jahangir Mahal
14016,Agra,Gyarah Sidi
14064,Agra,Jama Masjid
14124,Agra,Jain Muni Samadhi Stahl
14452,Agra,Jawab Masjid
14542,Agra,Jaswant ki Chatri
14620,Agra,Kalakriti Cultural & Convention Center
14682,Agra,Kailash Temple
14908,Agra,Keetham Lake
14929,Agra,Korai Village Agra
14945,Agra,Mariam's Tomb
14989,Agra,M.D College
15001,Agra,Mehtab Bagh
15011,Mohali,MD Tour And Travel
16141,Agra,Mother Teresa's Missionaries of Charity
16181,Agra,Mina Masjid
16307,Agra,Motilal Nehru Park
16318,Agra,Mughal Heritage Walk
16338,Agra,New Nice Marble Art & Handicrafts
16387,Agra,Nand Ram Ka Tila
16388,Agra,National Chambal Sanctuary NCS
16398,Agra,Old tampale is agra Rajewar madir
16400,Agra,Ram Bagh
16451,Agra,Paliwal Park
16458,Agra,Prithvinath Mandir
16461,Agra,Rawli Maharaj Temple
16462,Agra,Shah Burj
16492,Agra,Roman Catholic Cemetery
16501,Agra,Saket Mall
16513,Agra,Samadhi Swamiji Maharaj Bagh
16520,Agra,Sanjay Place
16582,Agra,Shahin Arts
16629,Agra,Sheesh Mahal
17049,Agra,Shri Mankameshwar Mandir
17081,Agra,Soami Bagh
17111,Agra,Spiritual Museum
17119,Agra,Shree Jagdamba Degree College
17132,Agra,St. George's Cathedral
17154,Agra,St. George's Church
17162,Agra,Sur Sarovar Bird Sanctuary
17176,Agra,Taj Mahal
40425,Agra,Taj Museum
40561,Agra,Tdi Mall
40570,Agra,Tomb of Itimad-ud-Daulah
42268,Agra,Tomb of Mariam Zamani
42314,Agra,Wildlife SOS
42374,Agra,Tomb Of John Russell Colvin
42398,Agra,Touseef International
42404,Agra,U.P Handicrafts Development Center
43854,Agumbe,Agumbe Ghat
43878,Agumbe,Agumbe Rainforest Research Station
43908,Etmadpur,Zoya Holidays
43936,Agumbe,Agumbe Sunset View Point
43950,Agumbe,Jogigundi Falls
43983,Agumbe,Barkana Falls
43989,Agumbe,Koodlu Theertha Falls
44001,Agumbe,Onake Abbi Falls
44016,Agumbe,Sunset Point
44075,Ahmedabad,Adalaj Step-well
44085,Ahmedabad,Acropolis Mall
44117,Ahmedabad,10 Acres Mall
45782,Ahmedabad,Ahmad Shah's Tomb
45792,Ahmedabad,Ahmedabad Haat
45813,Ahmedabad,Ahmedabad One Mall
45823,Ahmedabad,Aggarwal Mall
46218,Ahmedabad,Akshardham Temple
48067,Ahmedabad,Ambapur Step Well
48075,Ahmedabad,Amarnath Dham
48088,Ahmedabad,Amdavad ni Gufa
48205,Ahmedabad,Auto World Vintage Car Museum
48235,Ahmedabad,Apsara Theatre
48263,Ahmedabad,Archer Art Gallery
48279,Ahmedabad,Amritvarshini Vav
48800,Ahmedabad,Bai Harir Sultani Mosque
48801,Ahmedabad,Balvatika
48857,Ahmedabad,Bhadra Fort & Teen Darwaja
49020,Ahmedabad,Bhadra Fort
49084,Ahmedabad,Bhagwat Vidyapith
49096,Ahmedabad,Calico Museum of Textiles
49366,Ahmedabad,Conflictorium
49367,Ahmedabad,Dada Bhagwan Temple
49429,Ahmedabad,City Museum
49608,Ahmedabad,Dada Hari Ni Vav
49731,Ahmedabad,Dada Hari
49747,Ahmedabad,Ellis Bridge
49761,Ahmedabad,Dada Harir Stepwell
49764,Ahmedabad,Dr. Babasaheb Ambedkar Open University
49778,Ahmedabad,Darpan Circle
49789,Ahmedabad,Dandi Bridge
49792,Ahmedabad,Devarc Mall
49800,Ahmedabad,Gujarat Science City
49850,Ahmedabad,Fernandes Bridge
49860,Ahmedabad,Gallops Designer Mall
50116,Ahmedabad,Gujarat Vidyapith
50137,Ahmedabad,Gulmohar Park Mall
50153,Ahmedabad,Gurudwara Gobind Dham
50193,Ahmedabad,Gujarat Technological University
50267,Ahmedabad,Hare Krishna Mandir Temple
50300,Ahmedabad,Hathee Singh Jain Temple
50718,Ahmedabad,Himalaya mall
50738,Ahmedabad,Iscon Mega Mall
50870,Ahmedabad,ISKCON Kathwada
51286,Ahmedabad,Jaldhara Water World
51289,Ahmedabad,Jami Masjid
51546,Ahmedabad,Kamla Nehru Zoo
51625,Ahmedabad,Kankaria Lake
53592,Ahmedabad,Karai Dam
53605,Ahmedabad,Kite Museum
53625,Ahmedabad,Koteshwar Mahadev Temple
53636,Ahmedabad,Kids City
53650,Ahmedabad,Lalbhai Dalpatbhai Museum
53677,Ahmedabad,Lothal
53727,Ahmedabad,Koth Ganesh Mandir
53867,Ahmedabad,Manek Chowk
53967,Ahmedabad,Magen Abraham Synagogue
54679,Ahmedabad,Maniar's Wonderland Snow Park
54689,Ahmedabad,Nalsarovar Bird Sanctuary
54719,Ahmedabad,Mata Boot Bhawani Temple
54726,Ahmedabad,Naroda Lake
54729,Ahmedabad,Mini Kankaria
54747,Ahmedabad,Marvel Art Gallery
54760,Ahmedabad,Mughlibibi's Tomb
54761,Ahmedabad,Munsar Lake
54771,Ahmedabad,Nehru Bridge
54844,Ahmedabad,NC Mehta Gallery
54931,Ahmedabad,Nirma University
54999,Ahmedabad,Parimal Garden
55045,Ahmedabad,Pandit Dindyalal Upadhyay Auditorium & Hall
55130,Ahmedabad,Prahlad Nagar Garden
55214,Ahmedabad,Parsi Fire Temple Khamasa Gate
55228,Ahmedabad,R3 Mall
55237,Ahmedabad,Rani Rupavati's Mosque
55241,Ahmedabad,Qutbuddin Mosque
55242,Ahmedabad,Radhe Shopping Mall
55244,Ahmedabad,Rani Sipri's Mosque
55248,Ahmedabad,Rajshree Theatre
55261,Ahmedabad,Raksha Shakti University
55284,Ahmedabad,Rani Rupmati Mosque
55293,Ahmedabad,Ravivari
55303,Ahmedabad,Riverfront Flower Park
55333,Ahmedabad,Sabarmati Ashram / Mahatma Gandhi's Home
55358,Ahmedabad,Rehoboth Christian Assembly
58091,Ahmedabad,Sabarmati Riverfront
60198,Ahmedabad,Sanskar Kendra
60202,Ahmedabad,Sardar Patel Statue
60203,Ahmedabad,Sardar Patel Mall
60216,Ahmedabad,Sardar Vallabhbhai Patel National Memorial
60305,Ahmedabad,Sardar Vallabhbhai Patel Stadium
60368,Ahmedabad,Sarkhej Roja
60576,Ahmedabad,Shaking Minarets
60646,Ahmedabad,Satya Art Gallery at Navajivan Trust
60676,Ahmedabad,Shankus Water Park
60798,Ahmedabad,Shree Camp Hanuman Mandir
60818,Ahmedabad,Shree Balaji Agora Mall
60856,Ahmedabad,Shiv Theatre
61028,Ahmedabad,Shree Swaminarayan Mandir Kalupur
61048,Ahmedabad,Shree Hanumanji Temple
61099,Ahmedabad,Shree Mankameshvar Temple
61103,Ahmedabad,Shree Mahalaxmi Temple
61197,Ahmedabad,Shreyas Folk Museum
61236,Ahmedabad,Sidi Saiyyed's Mosque
61323,Ahmedabad,Sidi Saiyyed Mosque
61782,Ahmedabad,Splash The Fun World
61788,Ahmedabad,Sultan Ahmed Shah Mosque
61820,Ahmedabad,Swapna Srushti Water Park
61847,Ahmedabad,Sri Balaji Temple
61889,Ahmedabad,Sumthing LSE
61892,Ahmedabad,Teen Darwaza
61982,Kalol,Thol Lake Bird Sanctuary
62099,Ahmedabad,Utensils Museum
62179,Ahmedabad,Toy Museum
62187,Ahmedabad,Vaishnodevi Temple
62546,Ahmedabad,Vastrapur Adventure Park
62556,Ahmedabad,Vastrapur Lake
62813,Ahmedabad,Vikram Sarabhai Space Exhibition
62823,Ahmedabad,Vikram A Sarabhai Community Science Centre
62894,Ahmednagar,Ahmednagar Fort
62898,Ahmednagar,Amruteshwar Temple
62949,Ahmednagar,Agastya Rishi Ashram
62953,Ahmedabad,Vitthal the Mall
62989,Ahmednagar,Bhandardara Lake (Lake Aurthur Hill)
63009,Ahmednagar,Anand Dham
63011,Ahmednagar,Armoured Corps Centre and School
63094,Ahmednagar,Cavalry Tank Museum
63157,Ahmednagar,Meher Baba's Samadhi
63166,Ahmednagar,Ghatghar Dam
63173,Ahmednagar,Meherabad
63175,Ahmednagar,Lendibagh
63180,Ahmednagar,Mt Kalsubai
63227,Ahmednagar,Mohata devi temple
63305,Ahmednagar,Randha Falls
63351,Ahmednagar,Salabat Khan's Tomb
63360,Ahmednagar,Mula Dam
63378,Ahmednagar,Sandhan Valley
63433,Ahmednagar,Shri Siddhivinayak Temple
63461,Ahmednagar,Umbrella Falls
63471,Ahmednagar,Shani Maharaj temple
63478,Ahmednagar,Shri Vishal Ganapati Temple
63498,Ahmednagar,St. John's Catholic Church
63505,Ahmednagar,The Bagh Rauza
63508,Ahmednagar,Takali Dhokeshwar - Cave Temple of Shiva
63514,Aizawl,Burrra Bazar
63530,Ahmednagar,Vriddheshwar Temple
63546,Aizawl,Durtlang Hills
63556,Ahwa,Mahal Forest
63588,Airari,Mankameshwar Temple
63592,Aizawl,KV Paradise
63602,Aizawl,Luangmual Handicrafts Centre
63614,Aizawl,Folkland Park
63618,Aizawl,Khawnglung Wildlife Sanctuary
63634,Aizawl,Infinite Ainawn Park
63640,Aizawl,Mini Zoological Garden
63652,Aizawl,Mangkahia Lung
63653,Aizawl,Mizoram State Museum
63693,Aizawl,Reiek Heritage Village
63721,Aizawl,Paikhai
63738,Aizawl,Solomon's Temple
63747,Aizawl,Shiv Mandir
63754,Aizawl,Phulpui Grave
63760,Aizawl,Pushpak Gurudwara
63765,Aizawl,Sibuta Lung
63771,Aizawl,Tamdil Lake
63791,Aizawl,Vantawang Falls
63796,Ajanta,Ajanta Caves
63838,Aizawl,Tomb of Vanhimailian
65853,Ajmer,Abdullah Khan's Tomb
65854,Ajmer,Adhai-din ka Jhonpra Mosque
65896,Ajanta,Saibaba Travels
65993,Ajmer,Akbar's Palace & Museum
66093,Ajmer,Ana Sagar Lake
66103,Ajmer,Akbari Masjid
66179,Pushkar,Ambica arts
66533,Ajmer,Anted ki Mata Temple
66538,Pushkar,Atmeshwar Temple
66548,Pushkar,Aptaeshwar Temple
66575,Ajmer,Bhagchand Ki Kothi
66599,Ajmer,Birla City Water Park
66629,Ajmer,Archaeological Museum
66644,Ajmer,Bhim Burj and Garbha Gunjan
66653,Ajmer,Buland Darwaja
66683,Ajmer,City Square Mall
66695,Ajmer,Dargah Hazrat Meera Syed Hussain
66707,Ajmer,Dargah Shariff
68026,Ajmer,Daulat Bagh Garden
68056,Ajmer,Daulat Khana
68057,Ajmer,Foy Sagar Lake
68104,Ajmer,Government Museum
68132,Ajmer,Mayo College Museum
68161,Pushkar,Gurudwara Sahib
68163,Ajmer,Nareli Jain Temple
68173,Ajmer,Luni River
68178,Pushkar,Manibandh Shakti Peeth
68180,Ajmer,Mandir Shri Nimbark Peeth
68284,Ajmer,Nasiyan Jain Temple
68560,Ajmer,Paradizzo Resort
68578,Ajmer,Prithviraj Smarak Monument
68652,Ajmer,Rangji Temple
68688,Nimbahera,Ram Dwara Temple
68733,Kolkata,Savitri Mata Ropeway
68746,Ajmer,Rani Mahal
68753,Ajmer,Savitri Temple
68832,Ajmer,Shah Jahan's Mosque
68870,Ajmer,Sola Khamba
68888,Ajmer,Subhash Park
68891,Akluj,Fratelli Wines
68911,Ajmer,Sufi Masjid and Sufi Shahbaz Ali R.A Dargah
68925,Ajmer,Vega the Mall
68948,Akluj,Sayajiraje Park
68954,Ajmer,St. Mary's Graveyard
68957,Alampur,Navabhrama Temples
68972,Akola,Raj Rajeshwar Temple
68973,Akola,Balapur Fort
68975,Akola,Narnala Wildlife Sanctuary
68979,Akola,"Asadgad Fort , Akola"
68986,Akola,Narnala Fort
69002,Alandi,Dnyaneshwar Muktabai Temple
69011,Alandi,Jalaram Temple
69021,Alampur,Papanatha Temple
69023,Alandi,Chaangdev Bhinta
69025,Alappuzha,Alappuzha Beach
69061,Alappuzha,Adichikkavu Sree Durga Devi Kshetram Temple
70352,Alappuzha,Alappuzha Lighthouse
70610,Alappuzha,Alleppey Backwaters
71668,Alappuzha,Ambalapuzha Sree Krishna Temple
72014,Alappuzha,Andhakaranazhi Beach
72067,Alappuzha,Chakkulathukavu Temple
72077,Alappuzha,Chavara Bhavan Shrine
72109,Alappuzha,Edathua Church
72144,Alappuzha,Chammanad Devi Temple
72159,Alappuzha,International Coir Museum
72169,Alappuzha,Eruva Sreekrishna Swamy Temple
72213,Kainakary,Genesis Houseboats and Tours
72238,Alappuzha,Kanichukulangara Devi Temple
72241,Alappuzha,Golden Flower Hall
72270,Alappuzha,"Jain Temple, Alleppey"
72272,Alappuzha,Kathakali
72322,Alappuzha,Kakkathuruthu Island
72448,Alappuzha,Kayamkulam Lake
72460,Alappuzha,Mannarasala Sree Nagaraja Temple
72500,Alappuzha,Kidangamparambu Sree Bhuvaneswari Temple
72506,Alappuzha,Kurattikadu Pattambalam Devi Kshethram Temple
72509,Alappuzha,Kurattikkadu Mutharamman Devi Temple
72514,Alappuzha,Kuttikattu Sree Bhadra Kali Devi Temple
72650,Alappuzha,Mullakkal Rajeshwari Temple
72680,Alappuzha,Mullakkal Market
72681,Alappuzha,Pathiramanal Beach
72705,Alappuzha,Nalpathaneeswaram Sree Mahadeva Temple
72710,Alappuzha,National Cartoon Museum and Art Gallery
72714,Alappuzha,Nehru Trophy Boat Race
72715,Alappuzha,Pandavan Rock
72723,Alappuzha,Padanilam Parabrahma Temple
72730,Alappuzha,Revi Karunakaran Museum
72969,Alappuzha,Sree Subramanya Swami Temple
72999,Alappuzha,Saras Exotic Birds Center
73012,Alappuzha,Sea View Park
73042,Alappuzha,Sree Ganesh Temple Mullackall
73133,Alappuzha,St. Andrew's Basilica Arthunkal
73208,Alappuzha,St. Mary's Forane Church
73228,Alappuzha,Sree Venu Gopala Swamy Temple
73272,Pulinkunnu,St. Mary's Forane Church Pulincunnoo
73297,Alappuzha,Thottappally Beach
73308,Alappuzha,Vijay Beach Park
73361,Alappuzha,Thiruvanvandoor Pambanaiappan Temple
73371,Alchi,Alchi Monastary
73381,Alappuzha,Vethalan Kavu Mahadeva Temple
73396,Alappuzha,Thuravoor Mahakshethram
73503,Alibaug,Akshi Beach
73562,Alibaug,"Alibag Beach, Alibag"
73607,Alibaug,Alibag Beach
74086,Alibaug,Awas Beach
74143,Alibaug,Kanakeshwar Devasthan Temple
74205,Alibaug,Brahma Kund
74214,Alibaug,Hanuman Temple
74231,Alibaug,Kanhoji Angre Samadhi
74233,Alibaug,Kanakeshwar Forest
74250,Alibaug,Kolaba Fort
74260,Alibaug,Kanhoji Angre lighthouse. Khanderi Island
74367,Alibaug,Mandwa Beach
74447,Alibaug,Magen Aboth Synagogue
74482,Alibaug,Lavish Antique Clocks
74501,Alibaug,Nagaon Beach
75052,Alibaug,Native Biodiversity Garden
75054,Alibaug,Rewas Jetty
75063,Alibaug,Undheri Fort
75066,Alibaug,Versoli Beach
75086,Alibaug,Nagoba Mandir
75124,Alibaug,Pushkarna Kund
75362,Alibaug,Vikram Vinakyak Temple
75406,Alibaug,Vrindavan Farm
75407,Aligarh,AMU Jama Masjid
75421,Aligarh,Aligarh Fort
75460,Aligarh,Great Value Mall
75461,Aligarh,Khereshwar Temple
75463,Aligarh,Chacha Nehru Gyan Pushp
75477,Aligarh,Baba Barchi Bahadur Dargah
75486,Aligarh,Dor Fortress
75491,Aligarh,Maulana Azad Library
75530,Aligarh,Teerthdham Mangalaayatan
75531,Aligarh,Shekha Jheel
75556,Aligarh,Rajmangal Publishers
75559,Aligarh,Sir Syed Academy Museum
75567,Alipurduar,Rasikbil
75571,Alipurduar,Pukuri
75583,Alipurduar,Sikiajhora
75585,Allahabad,Akshaya Vat
75620,Allahabad,Alfred Park
75648,Alirajpur,Jain Temple Of Laxmani
75649,Allahabad,All Saints Cathedral
75743,Allahabad,Allahabad Fort
75813,Allahabad,Allahabad High Court
75882,Allahabad,Allahabad Museum
75970,Allahabad,Allahabad University
76014,Allahabad,Alopi Devi Mandir
76044,Allahabad,Anand Bhavan
76298,Allahabad,Bade Hanuman Jee Temple
76314,Allahabad,Benimadhav Temple
76325,Allahabad,Chandrashekhar Azad Park
76369,Allahabad,Ashoka Pillar
76428,Allahabad,Company Gardens Allahabad
76508,Allahabad,Ewing Christian College
76525,Allahabad,Fun Gaon
76531,Allahabad,Hanuman Mandir
76768,Allahabad,Jawahar Planetarium
76799,Allahabad,Kalyani Devi Temple
76810,Allahabad,ISKCON Allahabad Sri Sri Radha Venimadhav Temple
76823,Allahabad,Jamuna Church
76826,Allahabad,Khusro Bagh
76919,Allahabad,Lalita Devi Temple
76960,Allahabad,Minto Park
76968,Allahabad,Mayo Memorial Hall
76988,Allahabad,New Yamuna Bridge
77008,Allahabad,Muir College
77046,Allahabad,Nagvasuki Temple
77055,Allahabad,Narayan Ashram
77074,Allahabad,Old Naini Bridge
77084,Allahabad,Patalpuri Temple
77108,Allahabad,Sachcha Baba Ashram
77109,Allahabad,Public Library
77136,Allahabad,Shivkoti Mahadev Temple
77140,Allahabad,Shankar Viman Mandapam
77175,Allahabad,Sai Dham Mandir
77181,Allahabad,Triveni Sangam Allahabad
77211,Allahabad,Someshwar Mahadev Temple
77241,Allahabad,St. Peter's Church
77833,Allahabad,Undying Banyan Tree
77834,Almora,Archaeological Museum Jageshwar
77848,Almora,Bright End Corner
77899,Allahabad,Vinayak City Centre
77904,Almora,Chitai Temple
78076,Almora,Dwarahat Village
78082,Almora,Jageshwar Dham
78088,Almora,Gobind Vallabh Pant Museum
78135,Almora,Gananath Mandir
78401,Almora,Jhula Devi Temple
78436,Almora,Kasar Devi Temple
78638,Almora,Katarmal Sun Temple
78706,Almora,Kumaon Regimental Centre Museum
78746,Almora,Nanda Devi Temple
78781,Almora,Patal Devi Mandir
78799,Almora,Maa Dunaguri Temple
78819,Almora,Pre-Historic Painted Rock Shelter
78829,Almora,Tarikhet
78840,Almora,"Neeb Karori Baba Ashram, Kakrighat"
78847,Almora,Zero Point
78867,Almora,Shri Ram Shila Mandir
79011,Alwar,Ajabgarh Fort
79026,Along,Mechuka Valley
79040,Alto-Porvorim,Holy Family Church
79045,Alwar,Bala Quila
79257,Alwar,Bhangarh Fort
79865,Alwar,Bhartrihari Temple
79873,Alwar,City Palace
79952,Alwar,Choohar Sidh Falls
79957,Alwar,Cenotaph of Maharaja Bakhtawar Singh
80024,Alwar,Clock Tower
80029,Alwar,Flying Fox Neemrana
80050,Alwar,Company Bagh
80125,Alwar,Fateh Jung ka Gumbaj Tomb
80519,Alwar,Garbhaji Falls
80603,Alwar,Jai Samand Lake
80636,Alwar,Moosi Maharani Ki Chhatri
80656,Alwar,Jai Pol Fort
80672,Alwar,Kalakand Market
80725,Alwar,Krishna Temples
80731,Alwar,Moti Doongri
80749,Alwar,Purjan Vihar
80752,Alwar,Naldeshwar Shrine
80755,Alwar,Sariska Tiger Reserve
80790,Alwar,Nehru Garden
81410,Alwar,Siliserh Lake
81470,Alwar,Saurkha falls
81917,Alwar,Vijay Mandir Palace
81934,Alwar,Tripolia Imperial Mausoleum
81940,Alwar,Talvriksha
81948,Alwar,St Andrew's Church
81950,Alwar,Stargate Observatory
81951,Alwar,Vinay Vilas Palace
81957,Amalapuram,Ainavilli Sidhi Vinayaka Temple
81977,Amaravathi,Amaravathi Archaeological Museum
81978,Amalapuram,Appanapalli Temple
82003,Amarkantak,Amareshwar Mahadev Temple
82012,Amarkantak,Ancient Temples of Kalachuri
82042,Amaravathi,Amaravathi Stupa
82051,Amaravathi,Ravi's Spices Garden
82084,Amarkantak,Dudh Dhara Falls
82125,Amarkantak,Durga Dhara Fall
82131,Amarkantak,Jwaleshwar Temple
82134,Amarkantak,Kabir Chabutra
82155,Amarkantak,Kapil Dhara (Kapil Waterfall)
82176,Amarkantak,Kalyanika Kendriya Shiksha Niketan School
82203,Amarkantak,Narmada Udgam Temple
82213,Amarkantak,Mai ki Bagiya
82220,Amarkantak,Mrityunjay Ashram
82307,Amarkantak,Pendra Road Railway Station
82318,Amarkantak,Shri Yantra Mandir
82352,Amarkantak,Son Udgam Temple
82372,Amarkantak,Shri Sarvodaya Digamber Jain Temple
82425,Ambaji,Ambaji Temple
82674,Ambaji,Gabbar Hill
82753,Ambaji,Balaram Ambaji Wildlife Sanctuary
82772,Ambaji,Kailash Hill Sunset
82773,Ambaji,Kailash Tekari
82776,Ambaji,Kumbhariya Jain Temples
82806,Ambaji,Kamakshi Mandir
82845,Ambaji,Shri Koteshwar Mahadev Temple
82878,Ambaji,Mangalya Van
82888,Amarkantak,Bhrigu Kamandal
82898,Ambajogai,Kholeshwar Temple
82899,Ambala,Badshahi Bag Gurudwara
82908,Ambajogai,Shri Yogeshwari Devi Devasthan
82915,Ambalappuzha,Bhadrakali Temple
82916,Ambala,Ambika Devi Mandir
82920,Ambala,Gurudwara Manji Sahib
82954,Ambala,Gurudwara Panjokhra Sahib
82962,Ambala,Christian Cemetery
82983,Ambala,Holy Redeemer Church
82985,Ambala,Jaggi City Center
83016,Ambala,Jain Mandir
83037,Ambala,Rani Ka Talab
83048,Ambala,Kapal Mochan
83055,Ambala,Lakhnaur Sahib Gurudwara
83062,Ambala,Sis Ganj Gurudwara
83066,Ambala,Patel Park
83086,Ambala,Tirupati Travels
83090,Ambala,Sanjay Dhawan Art Gallery
83103,Ambarnath,Shanti Sagar Resort and Water Park
83113,Ambala,Tempo Traveller in Ambala
83114,Ambarnath,Anand Sagar Resort & Water Park
83125,Ambarnath,Shiv Temple
83187,Ambavli,Hiranyakeshi Temple
83202,Ambavli,Kavalshet Point
83209,Ambasamudram,Brahmadesam Kailasanathar Temple
83221,Ambavli,Nangarta Falls
83227,Ambavli,Mahadev Gad
83232,Ambikapur,Mahamaya Temple
83243,Ambikapur,Jogimara Caves
83245,Amboli,Amboli Water Falls
83264,Ambikapur,Rakasganda Fall
83296,Ambikapur,Shivpur Shiv Temple
83305,Ambikapur,Tiger Point
83332,Amravati,Bamboo Garden
83342,Ambur,Ambur Shoe Lounge
83353,Ambur,Shoe Style
83367,Amravati,Devi Point
83373,Amravati,Gawilgadh Fort
83379,Amravati,Chilkahrada Wild Life Sanctuary
83386,Amravati,Bham Dam
83390,Amravati,Chatri Talao
83392,Amravati,Hurricane Point
83399,Amravati,Gavilgarh Fort
83410,Amravati,Gugarnal National Park
83416,Amravati,Malkhed Dam
83420,Amravati,"ISKCON Amravati, Sri Sri Rukmini Dwarkadhish"
83425,Amravati,Jaistambh Square
83450,Amravati,MelGhat Tiger Reserve
83490,Amravati,Shri Ambadevi Temple
83511,Amravati,Pandit Nehru Botanical Gardens
83528,Amravati,Shri Bhakti Dham Temple
83530,Amravati,Prospect Point
83535,Amravati,Upper Wardha Dam
83548,Amravati,Wadali Talao
83560,Amravati,Sridham Temple
83583,Amravati,Woods water park resort
83586,Amritsar,Akal Takht
83596,Amreli,Anti-Gravity Road
83600,Amreli,Kumbhnath Sukhnath Temple
83604,Amreli,Maruti Dham
83617,Amreli,Nagnath Temple
84174,Amritsar,Alpha One Mall
84228,Amritsar,Baba Deep Singh Ji Memorial
84232,Amritsar,Central Sikh Museum
84334,Amritsar,Dera Baba Jaimal Singhji
84342,Amritsar,Digamber Jain Temple
84354,Amritsar,Dukh Bhanjani Ber Tree
84479,Amritsar,Durgiana Temple
85289,Amritsar,Gandhi Gate
85376,Amritsar,Gobindgarh Fort
86225,Amritsar,Goindwal Sahib
86289,Amritsar,Golden Temple
94395,Amritsar,Guru Nanak Dev University
94405,Amritsar,Gurdwara Bibeksar Sahib
94433,Amritsar,Gurdwara San Sahib
