,City,Place
1264394,Rudra Prayag,Kalpeshwar Mandir
1264423,Rudra Prayag,Kartik Swamy Temple
1264424,Rudra Prayag,Rudranath Temple
1264434,Rudrapur,Atariya Temple
1264439,Rudra Prayag,Madhyamaheshwar Mandir
1264464,Rudrapur,Kamal Boot House
1264465,Rudrapur,Giri Sarovar
1264470,Rudrapur,The Lake Paradise
1264543,Rupnagar,Gurudwara Bhatta Sahib
1264562,Rupnagar,Gurudwara Parivar Vichhora Sahib
1264569,Rupnagar,Gurudwara Peer Baba Budhan Shah Ji
1264570,Rupnagar,Sri Takht Keshgarh Sahib
1264577,Rupnagar,Gurdwara Sheesh Mahal Sahib
1264583,Rupnagar,Jateshwar Mahadev Temple
1264595,Rupnagar,Holistic Spa & Salon Academy
1264597,Rupnagar,Gurudwara Sadabarat
1264622,Rupnagar,Virasat E Khalsa
1264632,Rupnagar,Sirhind Canal
1264725,Sabarimala,Vavar Shrine
1264730,Sabarimala,Malikkappuram Devi Temple
1264735,Sabalgarh,Maa Annapurna Mandir
1264736,Sabalgarh,Choleshwar Mandir
1264747,Sadri,Ranakpur Jain Temple
1264757,Sabarimala,Pampa Ganapathy Temple
1264795,Sadahalli,Sadahalli Quarry Temple
1264798,Sadri,Camel Charisma
1267224,Sagar Island,Gangasagar
1267274,Sagar Island,Kapil Muni Temple
1267319,Sagar Island,Sagardwip Beach
1267328,Sagara,Ikkeri Aghoreshwara Temple
1267409,Saharanpur,Nau Gaza Peer
1267411,Sagara,Kedareshvara Temple
1267415,Sagara,Mallikarjuna & Ramesvara Temple
1267419,Sagara,Varadamoola
1267428,Sagara,Keladi Rameshwara Temple
1267436,Sagar,Pong Dam
1267444,Saharanpur,GnG Mall
1267460,Saharanpur,Shakumbharidevi Devi
1267480,Saharanpur,Shri Baba Lal Das
1267508,Saharanpur,Shivadham Temple
1267531,Saharsa,Maa Bishahra Temple
1267532,Saharsa,Ugratara temple
1267579,Sahibganj,Bindabasini Temple
1267586,Sahibganj,Shivgadi Temple
1267591,Sahibganj,Bhagwa Kuan
